GUID	Text
108997	Recoge la mercancía en [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
116458	Lleva la mercancía a <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET] (monitorizado)</font>
116462	Recoge la mercancía en este punto monitorizado: <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font>
105099	Destruye [CONDITION_AMOUNT_COUNTER_AMOUNT] [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
108999	Destruye [CONDITION_AMOUNT_COUNTER_AMOUNT] [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
108502	Utiliza el dron para destruir [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
109001	Utiliza el dron para destruir [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
116459	Utiliza el dron para destruir este objeto monitorizado: [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
120073	Conecta [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a tu [COMMANDO_VEHICLE]
100787	Sala de noticias
100549	Mapa estratégico
100788	Centro de tareas
100789	Perfil corporativo
100791	almacén global
100842	Menú del Consejo
103065	Perfil corporativo
103066	Nivel corporativo
103081	muelle
108437	voto
117118	estación espacial
102760	Hunde el barco Eradicator
102761	Destruye 6 laboratorios de investigación
102762	Hunde 50 barcos de tipo patrullero
100105	[CONDITION_EVENT_SPECIFIC_TEXT]
100191	NO LOCA Start the Assignment [CONDITION_EVENT_CONTEXT]
100106	Cumple la tarea [CONDITION_EVENT_CONTEXT].
100107	Abre el menú [CONDITION_EVENT_CONTEXT]
100108	NO LOCA Enter sector [CONDITION_EVENT_CONTEXT]
100130	Encuentra [CONDITION_EVENT_CONTEXT].
100131	NO LOCA Upgrade to [CONDITION_EVENT_CONTEXT]
100187	NO LOCA Load the sector [CONDITION_EVENT_CONTEXT]
102668	Destruye [CONDITION_EVENT_CONTEXT]
119831	Desbloquea [CONDITION_EVENT_CONTEXT]
120062	[CONDITION_AMOUNT_COUNTER_CURRENT_AMOUNT] / [CONDITION_AMOUNT_COUNTER_AMOUNT]
100725	Recoge [CONDITION_AMOUNT_COUNTER_AMOUNT] [CONDITION_SOURCE_OBJECT_ASSET] con tus vehículos
100726	[CONDITION_AMOUNT_COUNTER_CURRENT_AMOUNT] / [CONDITION_AMOUNT_COUNTER_AMOUNT]
105899	Entrega  <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_DELIVERY_AMOUNT] de [CONDITION_DELIVERY_GOODS]</font> a [CONDITION_SOURCE_OBJECT_ASSET]
105182	Dale a [CONDITION_SOURCE_OBJECT_ASSET] con [CONDITION_SPECIAL_ACTION_USED_OBJECT_NAME]
105183	[CONDITION_AMOUNT_COUNTER_CURRENT_AMOUNT]/[CONDITION_AMOUNT_COUNTER_AMOUNT]
105157	Utiliza <font [MINIMAPDOT_COLOR 2001947]> [CONDITION_SPECIAL_ACTION_USED_OBJECT_NAME]</font> [CONDITION_AMOUNT_COUNTER_AMOUNT] veces
105162	[CONDITION_AMOUNT_COUNTER_CURRENT_AMOUNT]/[CONDITION_AMOUNT_COUNTER_AMOUNT]
105102	Sigue <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font> con tu vehículo
100104	Mueve el vehículo: [COMMANDO_VEHICLE]
105261	Mueve tu [COMMANDO_VEHICLE] a [CONDITION_SOURCE_OBJECT_ASSET]
109003	Mueve tu [COMMANDO_VEHICLE] a [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
103114	Visita [CONDITION_SOURCE_OBJECT_ASSET] con tu [COMMANDO_VEHICLE].
109004	Visita [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT] con tu [COMMANDO_VEHICLE].
116460	Visita [CONDITION_SOURCE_OBJECT_ASSET] (monitorizado) con tu [COMMANDO_VEHICLE].
108287	Trae los objetos recogidos a: <font [MINIMAPDOT_COLOR 2001947]>[CONDITION_SOURCE_OBJECT_ASSET]</font>
109005	Trae los objetos recogidos a: [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
103078	Selecciona [CONDITION_SOURCE_OBJECT_ASSET]
109006	Selecciona [CONDITION_SOURCE_OBJECT_ASSET] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
105412	Selecciona el puerto espacial
109007	Selecciona el puerto espacial [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
100095	exactamente
100097	al menos
100098	como mucho
102527	más de
102526	menos de
100301	en [CONDITION_PROFILE_COUNTER_SCOPE_CONTEXT]
100302	en la región [CONDITION_PROFILE_COUNTER_SCOPE_CONTEXT]
108934	Mantén un stock de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117934	Mantén una cuenta bancaria de [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
108935	Mantén un exceso de producción de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117925	Mantén un nivel de mano de obra [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117926	Mantén un saldo energético  [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117927	Mantén un saldo de crédito  de [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
108936	Conserva la producción de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117928	Mantén un suministro de mano de obra  [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117929	Mantén un saldo de producción [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117930	Mantén ingresos de crédito  [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115245	Mantente por debajo de un límite tu población de [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
108937	Mantén un consumo de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117931	Mantén un uso de mano de obra [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117932	Mantén un uso de energía  [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117933	Mantén un gasto de crédito [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115456	Mantente por debajo de un límite tu población de [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
120785	Construye y mantén [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
120920	Mantén un equilibrio logístico de [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100808	Consigue [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117910	Ten crédito
100827	Alcanza un equilibrio de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117911	Alcanza un saldo energético de [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117912	Alcanza un nivel de mano de obra de [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117913	Alcanza un saldo de crédito de [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100819	Produce [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117922	Asigna mano de obra [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117923	Produce energía [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117924	Genera ingresos de crédito de  [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
108930	Consume [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117919	Utiliza mano de obra [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117920	Utiliza energía [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117921	Ten un gasto de crédito [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100092	[CONDITION_PROFILE_COUNTER_COUNTER_TEXT]
116548	[CONDITION_PROFILE_COUNTER_VALUE_QUESTSTART]
100813	[CONDITION_PROFILE_COUNTER_VALUE_CURRENT] / [CONDITION_PROFILE_COUNTER_VALUE]
100814	[CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_VALUE_CURRENT] / [CONDITION_PROFILE_COUNTER_VALUE]
102606	Proporciona una cantidad suficiente de [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
102528	Mejora [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
105522	Reclama una isla [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
105523	Reclama un cráter [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
105599	Consigue el vehículo "[CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]"
105600	Construye el vehículo "[CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]"
105712	Atrae [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100100	Construye [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100803	Cómprale [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] a un comerciante
100804	Véndele [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] a un comerciante
100805	Atrae a una población de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100806	Atrae a una población de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
100807	Alcanza una población total
102933	Destruye [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
108598	Alcanza el nivel corporativo
108984	Hazte con [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115266	Sufre una derrota en  "[CONDITION_PROFILE_COUNTER_SCOPE_CONTEXT]"
114517	Consigue la victoria en  "[CONDITION_PROFILE_COUNTER_SCOPE_CONTEXT]"
115445	Realiza la acción especial [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115265	Coloniza la isla [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115268	Investiga [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] en el muelle
115271	Vota por [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115272	Mueve edificios [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115273	NO LOCA Create express routes for [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115274	Consigue créditos en el mercado mundial
115275	Gasta créditos en el mercado mundial
115276	Consigue créditos de una sola ruta de traspaso al mercado mundial.
115278	Gasta créditos en una sola ruta de traspaso al mercado mundial
115324	Obtén créditos vendiendo  mercancía a [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115325	Gasta créditos comprando de  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115326	Obtén créditos vendiendo  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115327	Gasta créditos comprando  [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115337	Completa tareas opcionales de [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115338	Completa misiones de evento opcionales de [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117915	Rechaza tareas opcionales de [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115439	Derriba [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115442	Obtén puntos de logros
115443	Construye y conecta [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT]
115444	No tengas ninguna conexión por calle a [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
115461	Construye [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] [CONDITION_PROFILE_COUNTER_SCOPE_TEXT]
117917	Consigue experiencia de combate
117918	Alcanza un nivel militar
109008	Satisface la necesidad de [CONDITION_POPULATION_NEEDS_GOOD]
105557	Satisface la necesidad de  [CONDITION_POPULATION_NEEDS_GOOD] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
105558	[CONDITION_POPULATION_NEEDS_CURRENT_VALUE] / [CONDITION_POPULATION_NEEDS_AMOUNT]%
108931	NO LOCA Sessionwide [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] balance
108932	NO LOCA Sessionwide [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] provided
108933	NO LOCA Sessionwide [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] used
100690	Tiempo disponible
100691	[CONDITION_TIMER_VALUE]
121596	[TEMPORARY_SECTOR_EFFECT_TIMER]
108548	Remolca [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
109009	NO LOCA Tow [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] to [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
120378	Conecta [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a tu [COMMANDO_VEHICLE]
120395	Conecta el objeto monitorizado: [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a tu [COMMANDO_VEHICLE]
120408	[CONDITION_AMOUNT_COUNTER_CURRENT_AMOUNT] / [CONDITION_AMOUNT_COUNTER_AMOUNT]
121059	Lleva [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
105815	Sigue la señal del dron y recoge [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
109010	Busca y recoge [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT] [CONDITION_CONDITIONAL_SESSION_TEXT_FRAGMENT]
120063	Conecta [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a tu [COMMANDO_VEHICLE]
122043	Sigue la señal del dron y recoge este objeto monitorizado: [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
100800	Crea una ruta de traspaso para  [CONDITION_TRADEROUTE_PRODUCT_NAME] [CONDITION_TRADEROUTE_CONDITIONAL_SOURCESESSION] [CONDITION_TRADEROUTE_CONDITIONAL_TARGETSESSION]
100801	[CONDITION_TRADEROUTE_ROUTE_COUNT_CURRENT] / [CONDITION_TRADEROUTE_ROUTE_COUNT]
116502	desde [CONDITION_TRADEROUTE_SOURCESESSION_NAME]
116503	hasta [CONDITION_TRADEROUTE_TARGETSESSION_NAME]
103493	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] con un elevador espacial
104913	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial global
104914	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial orbital
104915	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial de transmisión
104916	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] con un elevador espacial
104917	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial global
104918	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial orbital
104919	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial de transmisión
104920	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104921	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104922	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104923	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104926	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial global
104925	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial orbital
104924	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial de transmisión
104927	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial global
104928	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial orbital
104929	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial de transmisión
104930	Finaliza tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial global
104931	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104932	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104933	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial orbital
104934	Mejora tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial de transmisión
104935	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial orbital
104936	Empieza a mejorar tu puerto espacial en [CONDITION_OBJECT_SESSION] a un puerto espacial de transmisión
104937	Finaliza la mejora de tu puerto espacial en [CONDITION_OBJECT_SESSION]
104938	Finaliza la mejora de tu puerto espacial [CONDITION_OBJECT_SESSION]
105566	Mejora tu puerto espacial con un elevador espacial
105567	Mejora tu puerto espacial con un muelle rompehielos
105568	Mejora tu puerto espacial con una plataforma de lanzamiento
105569	Mejora tu puerto espacial con un transmisor de energía
105560	Empieza a mejorar tu puerto espacial a un puerto espacial global
105561	Empieza a mejorar tu puerto espacial a un puerto espacial global
105562	Empieza a mejorar tu puerto espacial con una plataforma de lanzamiento
105563	Empieza a mejorar tu puerto espacial con un transmisor de energía
105564	Finaliza la construcción del puerto espacial global
105565	Finaliza la mejora del muelle rompehielos en tu puerto espacial
105570	Finaliza la mejora de la plataforma de lanzamiento en tu puerto espacial
105571	Finaliza la mejora del transmisor de energía en tu puerto espacial
105572	Mejora tu puerto espacial con un muelle rompehielos
105573	Mejora tu puerto espacial a un puerto espacial global
105574	Mejora tu puerto espacial en la región Ártica para tener un puerto espacial Orbital
105575	Empieza a mejorar tu puerto espacial con un muelle rompehielos
105576	Empieza a mejorar tu puerto espacial con una plataforma de lanzamiento
105577	Empieza a mejorar tu puerto espacial con un transmisor de energía
105578	Finaliza la mejora del muelle rompehielos en tu puerto espacial
105579	Finaliza la mejora de la plataforma de lanzamiento en tu puerto espacial
105580	Finaliza la mejora del transmisor de energía en tu puerto espacial
105581	Mejora tu puerto espacial con una plataforma de lanzamiento
105582	Mejora tu puerto espacial con un transmisor de energía
105583	Empieza a mejorar tu puerto espacial con una plataforma de lanzamiento
105584	Empieza a mejorar tu puerto espacial con un transmisor de energía
105585	Finaliza la mejora de la plataforma de lanzamiento en tu puerto espacial
105586	Finaliza la mejora del transmisor de energía en tu puerto espacial
102517	Mejora [CONDITION_SOURCE_OBJECT_ASSET] en [CONDITION_OBJECT_SESSION]
103137	Inicia la mejora de [CONDITION_SOURCE_OBJECT_ASSET] en [CONDITION_OBJECT_SESSION]
103269	Finaliza la mejora de [CONDITION_SOURCE_OBJECT_ASSET] en [CONDITION_OBJECT_SESSION]
121282	Distribuye [CONDITION_SOURCE_OBJECT_ASSET_FROM_PARENT] a [CONDITION_TARGET_OBJECT_ASSET_FROM_PARENT]
105411	Despeja el sector de crisis [CONDITION_ACTIVE_SESSION_SESSION]
102650	Asciende a los empleados que viven en un edificio residencial específico.
117380	Alcanza el siguiente nivel corporativo.
116501	en [CONDITION_OBJECT_SESSION]
102518	Programa de Licencia Lunar
103058	Fase 1
103059	Fase 2
103247	Fase 3
103248	Fase 4
105211	"Desarrollar un puerto espacial conlleva mucho trabajo. Vamos a llamar a los profesionales."
105387	Año 2205. La humanidad necesita una tecnología intensiva energéticamente para hacer frente a los desafíos que plantea un planeta con un medio ambiente modificado. La crisis energética global es cada vez más inminente. Los nuevos reactores de fusión ofrecen una promesa de esperanza, pero necesitan recursos que solo se encuentran en la Luna. Y así fue como el gobierno mundial de Global Union inició el Programa de Licencia Lunar, permitiendo a las corporaciones apoyar colonias de minería lunar de propiedad gubernamental con otras privadas.
105213	[NOTIFICATION_CHARACTER_NAME] te pide que proporciones alojamiento a tu equipo de construcción.
105214	[NOTIFICATION_CHARACTER_NAME] te recomienda que tengas cuidado con la competencia.
105217	[NOTIFICATION_CHARACTER_NAME] anuncia la llegada del equipo de construcción.
105220	[NOTIFICATION_CHARACTER_NAME] valora que le proporciones comida orgánica a tu población.
105441	[NOTIFICATION_CHARACTER_NAME] se alegra de que tu producción de biopolímeros esté en marcha.
117970	Construye esto: [CONDITION_PROFILE_COUNTER_CONTEXT_OBJECT] y conéctalo al [GUIDNAME 1000157]
105212	"Tu puerto espacial está dotado de equipamiento innovador. Es necesario contar con personal experto para su manejo."
105388	La Primera Oleada de colonización lunar tuvo lugar hace cien años. Hoy, la minería lunar está siendo supervisada por la empresa gubernamental Lunar Excavation Corp. Abotargada e ineficaz, LEC perdió hace mucho tiempo el favor y el apoyo de Global Union. Pero, Global Union tardó varias décadas, tras un largo lobby protagonizado por los Cinco Grandes, en iniciar un nuevo programa de colonización lunar. Para enfrentarte a estos gigantes que dominan el mercado mundial, tendrás que invertir únicamente en la mejor tecnología para tu puerto espacial. Y vas a necesitar personal cualificado para manejarla.
105215	[NOTIFICATION_CHARACTER_NAME] indica la demanda de tu programa espacial de personal de tierra especializado
105216	[NOTIFICATION_CHARACTER_NAME] no duda de que tu corporación esté la la altura de mayores desafíos.
105218	[NOTIFICATION_CHARACTER_NAME] agradece tus esfuerzos para garantizar el suministro de agua.
105221	[NOTIFICATION_CHARACTER_NAME] habla maravillas de tu centro de información recién construido.
105222	[NOTIFICATION_CHARACTER_NAME] y sus compañeros inician los sistemas de control del puerto espacial.
105398	"Queda mucho camino por recorrer. Tu elevador espacial conducirá directamente a la central orbital de Global Union."
105399	La inesperada Guardia Orbital estremeció hasta los cimientos del mundo. Una a una, las colonias de Lunar Excavation Corp. se aliaron con los terroristas y suspendieron sus envíos de recursos a la Tierra. Los habitantes de la Luna que se niegan a seguir la cruda retórica de Virgil Drake, viven bajo el temor de la opresión. Algunos logran embarcarse en lanzaderas rumbo a la tierra, pero son muchos más los que no tienen esa oportunidad. La exigencia de Drake de anular el Programa de Licencia Lunar coloca a Global Union en una posición complicada pero, por el bien de la humanidad, el programa debe continuar. Y también la construcción de tu elevador espacial.
105413	[NOTIFICATION_CHARACTER_NAME] quiere que construyas un elevador espacial hasta la estación espacial de Global Union.
105414	[NOTIFICATION_CHARACTER_NAME] anuncia la llegada de entregas de material adicionales.
105219	[NOTIFICATION_CHARACTER_NAME] te dice que van a entregar materiales adicionales para el cable del elevador.
117873	[NOTIFICATION_CHARACTER_NAME] sabe que un buen empleador mantiene satisfechos a sus empleados, como tú.
105440	[NOTIFICATION_CHARACTER_NAME] te pide que continúes con la construcción del elevador cuando todo lo demás esté listo.
117370	Inicia la mejora.
105409	"El sector entero ha sido cerrado. Parece que la intervención militar es nuestra única opción."
